x,y,z,w
35.64585333,18.98484086,0,2.5
35.97481604,19.25193828,0.005,2.5
36.19826979,19.45664068,0.01,2.5
36.42172354,19.66134306,0.015,2.5
36.64517728,19.86604544,0.02,2.5
36.86863103,20.07074782,0.025,2.5
37.09208478,20.2754502,0.03,2.5
37.33468055,20.50910829,0.035,2.5
37.59208207,20.79515774,0.04,2.5
37.86230137,21.0609733,0.045,2.5
38.16013118,21.39947547,0.05,2.5
38.46959378,21.73150422,0.055,2.5
38.67807249,22.00242827,0.06,2.5
38.88819192,22.22917534,0.065,2.5
39.12346076,22.5132214,0.07,2.5
39.3450741,22.78475788,0.075,2.5
39.55365697,23.05806137,0.08,2.5
39.75416634,23.31026484,0.085,2.5
39.96773098,23.63903265,0.09,2.5
40.19585861,23.90674819,0.095,2.5
40.36626813,24.14508169,0.1,2.5
40.58098241,24.46511409,0.105,2.5
40.80020594,24.7481653,0.11,2.5
41.01598428,25.06917248,0.115,2.5
41.23414374,25.35124892,0.12,2.5
41.46694711,25.68785247,0.125,2.5
41.73921394,26.07431184,0.13,2.5
41.9573734,26.35638828,0.135,2.5
42.19017679,26.69299183,0.14,2.5
42.4624436,27.07945121,0.145,2.5
42.68060306,27.36152766,0.15,2.5
42.91340645,27.6981312,0.155,2.5
43.18567327,28.08459057,0.16,2.5
43.41128119,28.37349044,0.165,2.5
43.62599546,28.69352284,0.17,2.5
43.84149476,28.97316234,0.175,2.5
44.06099732,29.29758123,0.18,2.5
44.27915678,29.57965767,0.185,2.5
44.50963253,29.9141289,0.19,2.5
44.78422699,30.30272059,0.195,2.5
45.00238646,30.58479703,0.2,2.5
45.23286219,30.91926826,0.205,2.5
45.50745666,31.30785996,0.21,2.5
45.72561612,31.58993641,0.215,2.5
45.95841949,31.92653995,0.22,2.5
46.23068632,32.31299932,0.225,2.5
46.44884578,32.59507577,0.23,2.5
46.68164917,32.93167931,0.235,2.5
46.95391598,33.31813869,0.24,2.5
47.17207545,33.60021514,0.245,2.5
47.40487883,33.93681868,0.25,2.5
47.67714566,34.32327805,0.255,2.5
47.89530511,34.6053545,0.26,2.5
48.12810849,34.94195804,0.265,2.5
48.40037532,35.32841743,0.27,2.5
48.61853478,35.61049387,0.275,2.5
48.85133816,35.94709742,0.28,2.5
49.12360498,36.33355679,0.285,2.5
49.34176445,36.61563323,0.29,2.5
49.57456783,36.95223678,0.295,2.5
49.84683465,37.33869615,0.3,2.5
50.06499411,37.6207726,0.305,2.5
50.29779749,37.95737615,0.31,2.5
50.57006431,38.34383552,0.315,2.5
50.79567223,38.63273537,0.32,2.5
51.0103865,38.95276777,0.325,2.5
51.2258858,39.23240729,0.33,2.5
51.43740788,39.54951538,0.335,2.5
51.64120246,39.81843238,0.34,2.5
51.8245454,40.16845749,0.345,2.5
52.06969281,40.52844178,0.35,2.5
52.26836176,40.84747934,0.355,2.5
52.45772015,41.15798762,0.36,2.5
52.6284574,41.45143739,0.365,2.5
52.80709452,41.78923914,0.37,2.5
52.96967144,42.03238833,0.375,2.5
53.07137154,42.31398432,0.38,2.5
53.24118857,42.64085112,0.385,2.5
53.39891272,42.99089985,0.39,3.5
53.56346461,43.34720338,0.395,3.5
53.71560241,43.69213454,0.4,3.5
53.8677402,44.03706571,0.405,3.5
53.99594583,44.38943875,0.41,3.5
54.13323259,44.72565942,0.415,3.5
54.25433516,45.0421597,0.42,3.5
54.36270241,45.31273335,0.425,3.5
54.45907474,45.63594442,0.43,3.5
54.58062376,45.96264228,0.435,3.5
54.68367951,46.32623596,0.44,3.5
54.79626908,46.70345769,0.445,3.5
54.89722044,47.07001783,0.45,3.5
54.99584414,47.43444567,0.455,3.5
55.08515728,47.79034423,0.46,3.5
55.15584927,48.12918427,0.465,3.5
55.22654125,48.46802431,0.47,3.5
55.30784056,48.82800155,0.475,3.5
55.36825728,49.21452863,0.48,3.5
55.43322584,49.60522557,0.485,3.5
55.52021494,49.97041514,0.49,3.5
55.61185573,50.32844603,0.495,3.5
55.72211765,50.70353544,0.5,3.5
55.84323105,51.0543057,0.505,3.5
55.97054065,51.37649216,0.51,3.5
56.11026435,51.71005098,0.515,3.5
56.28412682,52.07488376,0.52,3.5
56.49655547,52.45546924,0.525,3.5
56.68146474,52.71295888,0.53,3.5
56.8465158,53.01261963,0.535,3.5
57.07465738,53.32439656,0.54,3.5
57.289864,53.61290397,0.545,3.5
57.52327074,53.89524418,0.55,3.5
57.84888179,54.24682461,0.555,3.5
58.16201509,54.60372372,0.56,3.5
58.44029486,54.84951534,0.565,3.5
58.63531772,55.08527269,0.57,3.5
58.85877148,55.28997508,0.575,3.5
59.0670288,55.5150163,0.58,3.5
59.29018305,55.75370434,0.585,3.5
59.51363679,55.95840672,0.59,3.5
59.69954875,56.16297771,0.595,3.5
60.00557174,56.49226334,0.6,3.5
60.28737794,56.76999864,0.605,3.5
60.59393297,57.09977166,0.61,3.5
60.87893137,57.38043128,0.615,3.5
61.1822942,57.70727999,0.62,3.5
61.46676057,57.98745221,0.625,3.5
61.77597576,58.31966217,0.63,3.5
62.06203822,58.60129655,0.635,3.5
62.37497764,58.93691823,0.64,3.5
62.66104011,59.21855261,0.645,3.5
62.97397953,59.55417427,0.65,3.5
63.25259352,59.82898524,0.655,3.5
63.56234075,60.16168259,0.66,3.5
63.84414695,60.43941788,0.665,3.5
64.15070198,60.76919092,0.67,3.5
64.43570038,61.04985052,0.675,3.5
64.73906321,61.37669922,0.68,3.5
65.02352957,61.65687145,0.685,3.5
65.33274476,61.98908142,0.69,3.5
65.61880723,62.2707158,0.695,3.5
65.93174665,62.60633747,0.7,3.5
66.21036066,62.88114844,0.705,3.5
66.52010788,63.21384579,0.71,3.5
66.80191408,63.49158107,0.715,3.5
67.1084691,63.82135411,0.72,3.5
67.39346751,64.10201371,0.725,3.5
67.69683033,64.42886242,0.73,3.5
67.98502094,64.71244636,0.735,3.5
68.29051188,65.04124461,0.74,3.5
68.57657435,65.32287899,0.745,3.5
68.88951377,65.65850066,0.75,3.5
69.17557624,65.94013504,0.755,3.5
69.48851566,66.27575672,0.76,3.5
69.76712966,66.55056768,0.765,3.5
70.07687689,66.88326503,0.77,3.5
70.35868309,67.16100033,0.775,3.5
70.66523812,67.49077335,0.78,3.5
70.95023652,67.77143296,0.785,3.5
71.25359935,68.09828167,0.79,3.5
71.53806571,68.37845389,0.795,3.5
71.8472809,68.71066385,0.8,3.5
72.13334337,68.99229823,0.805,3.5
72.44628279,69.32791991,0.81,3.5
72.73234525,69.60955429,0.815,3.5
73.04528466,69.94517596,0.82,3.5
73.32389867,70.21998693,0.825,3.5
73.6336459,70.55268428,0.83,3.5
73.9154521,70.83041956,0.835,3.5
74.22200713,71.1601926,0.84,3.5
74.50700552,71.4408522,0.845,3.5
74.81036836,71.76770091,0.85,3.5
75.09483472,72.04787313,0.855,3.5
75.40404991,72.3800831,0.86,3.5
75.69011238,72.66171749,0.865,3.5
76.0030518,72.99733915,0.87,3.5
76.28166579,73.27215012,0.875,3.5
